"Year","Trade.Flow","Reporter","Commodity.Code","Trade.Value..US..","Group"
2010,"Exports","Rep. of Moldova",201,154610,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,94271,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,51422,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,251488,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,362838,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,282697,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,154252,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,240,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,2651,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,114,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,170854,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,200240,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,92861,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,144805,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,362,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,597,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,55273,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,213,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,464,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,154610,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,94271,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,51422,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,251488,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,362838,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,282697,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Rep. of Moldova",201,154252,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,240,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,2651,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,114,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,170854,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,200240,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,92861,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,144805,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,362,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,597,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,55273,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,213,"СНГ, без Казахстана и Белоруссии"
2010,"Exports","Ukraine",201,464,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,40723,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,381352,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,412311,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,719298,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,1437830,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,1288645,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,2102259,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,1570228,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Rep. of Moldova",201,520785,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,1201,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,495641,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,1506253,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,1560291,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,1617189,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,1658952,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,1560622,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,1802964,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,2179328,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,2825639,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,3347423,"СНГ, без Казахстана и Белоруссии"
2011,"Exports","Ukraine",201,3480929,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,139436,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,41473,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,415029,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,845596,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,1281838,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,426638,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,768486,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,879414,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,976030,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,788234,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,707318,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Rep. of Moldova",201,970253,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,2913680,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,2760111,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,4624099,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,3962154,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,3594175,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,1998158,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,2756523,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,2621849,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,3604662,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,4378173,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,4123046,"СНГ, без Казахстана и Белоруссии"
2012,"Exports","Ukraine",201,3595180,"СНГ, без Казахстана и Белоруссии"
2013,"Exports","Rep. of Moldova",201,1079202,"СНГ, без Казахстана и Белоруссии"
2013,"Exports","Rep. of Moldova",201,1243881,"СНГ, без Казахстана и Белоруссии"
2013,"Exports","Rep. of Moldova",201,601932,"СНГ, без Казахстана и Белоруссии"
2013,"Exports","Rep. of Moldova",201,279014,"СНГ, без Казахстана и Белоруссии"
2013,"Exports","Rep. of Moldova",201,357181,"СНГ, без Казахстана и Белоруссии"
