"Year,""Trade.Flow"",""Reporter"",""Commodity.Code"",""Trade.Value..US.."",""Group"""
"2010,""Exports"",""Rep. of Moldova"",201,154610,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",201,94271,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",201,51422,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",201,251488,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",201,362838,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",201,282697,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",201,154252,""CIS"""
"2010,""Exports"",""Ukraine"",201,240,""CIS"""
"2010,""Exports"",""Ukraine"",201,2651,""CIS"""
"2010,""Exports"",""Ukraine"",201,114,""CIS"""
"2010,""Exports"",""Ukraine"",201,170854,""CIS"""
"2010,""Exports"",""Ukraine"",201,200240,""CIS"""
"2010,""Exports"",""Ukraine"",201,92861,""CIS"""
"2010,""Exports"",""Ukraine"",201,144805,""CIS"""
"2010,""Exports"",""Ukraine"",201,362,""CIS"""
"2010,""Exports"",""Ukraine"",201,597,""CIS"""
"2010,""Exports"",""Ukraine"",201,55273,""CIS"""
"2010,""Exports"",""Ukraine"",201,213,""CIS"""
"2010,""Exports"",""Ukraine"",201,464,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,40723,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,381352,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,412311,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,719298,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,1437830,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,1288645,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,2102259,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,1570228,""CIS"""
"2011,""Exports"",""Rep. of Moldova"",201,520785,""CIS"""
"2011,""Exports"",""Ukraine"",201,1201,""CIS"""
"2011,""Exports"",""Ukraine"",201,495641,""CIS"""
"2011,""Exports"",""Ukraine"",201,1506253,""CIS"""
"2011,""Exports"",""Ukraine"",201,1560291,""CIS"""
"2011,""Exports"",""Ukraine"",201,1617189,""CIS"""
"2011,""Exports"",""Ukraine"",201,1658952,""CIS"""
"2011,""Exports"",""Ukraine"",201,1560622,""CIS"""
"2011,""Exports"",""Ukraine"",201,1802964,""CIS"""
"2011,""Exports"",""Ukraine"",201,2179328,""CIS"""
"2011,""Exports"",""Ukraine"",201,2825639,""CIS"""
"2011,""Exports"",""Ukraine"",201,3347423,""CIS"""
"2011,""Exports"",""Ukraine"",201,3480929,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,139436,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,41473,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,415029,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,845596,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,1281838,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,426638,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,768486,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,879414,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,976030,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,788234,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,707318,""CIS"""
"2012,""Exports"",""Rep. of Moldova"",201,970253,""CIS"""
"2012,""Exports"",""Ukraine"",201,2913680,""CIS"""
"2012,""Exports"",""Ukraine"",201,2760111,""CIS"""
"2012,""Exports"",""Ukraine"",201,4624099,""CIS"""
"2012,""Exports"",""Ukraine"",201,3962154,""CIS"""
"2012,""Exports"",""Ukraine"",201,3594175,""CIS"""
"2012,""Exports"",""Ukraine"",201,1998158,""CIS"""
"2012,""Exports"",""Ukraine"",201,2756523,""CIS"""
"2012,""Exports"",""Ukraine"",201,2621849,""CIS"""
"2012,""Exports"",""Ukraine"",201,3604662,""CIS"""
"2012,""Exports"",""Ukraine"",201,4378173,""CIS"""
"2012,""Exports"",""Ukraine"",201,4123046,""CIS"""
"2012,""Exports"",""Ukraine"",201,3595180,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,1079202,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,1243881,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,601932,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,279014,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,357181,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,415359,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,535604,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,961071,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,1397440,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,1941206,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,2059776,""CIS"""
"2013,""Exports"",""Rep. of Moldova"",201,1002943,""CIS"""
"2013,""Exports"",""Ukraine"",201,2569959,""CIS"""
"2013,""Exports"",""Ukraine"",201,4149711,""CIS"""
"2013,""Exports"",""Ukraine"",201,4223642,""CIS"""
"2013,""Exports"",""Ukraine"",201,3046314,""CIS"""
